chan_id,n_train,n_test,n_features,train_min,train_max,train_mean,train_std,test_min,test_max,test_std,status,spacecraft
E-10,2880,8505,25,-1.0,1.0,-0.5875240468742737,0.8083221711569138,-1.0,1.0,0.8302031311820571,usable,SMAP
E-11,2880,8514,25,-1.0,1.0,-0.5873111307910931,0.8087424433349932,-1.0,0.9999999999999991,0.8237514217478707,usable,SMAP
E-12,2880,8512,25,-1.0,1.0000000000000002,-0.5868055555555556,0.8097278801974994,-1.0,1.0000000000000002,0.7932674323532332,usable,SMAP
E-13,2880,8640,25,-1.0,1.0000000000000002,-0.6016398712828454,0.5457678424622868,-1.0,1.0,0.5698942519689164,usable,SMAP
E-2,2880,8532,25,-1.0,0.9999999999999996,-0.4068951856239578,0.5517526627778341,-0.9999999999999998,1.0,0.3849416834850351,usable,SMAP
E-3,2880,8307,25,-1.0,1.0,0.13369273264645465,0.41697237532667714,-1.0,1.0000000000000004,0.5458700461160496,usable,SMAP
E-4,2880,8354,25,-0.9999999999999998,1.0000000000000004,-0.42310933205763945,0.4444323447436583,-0.9999999999999999,1.0000000000000004,0.3335892844484655,usable,SMAP
E-5,2880,8294,25,-1.0,1.0,-0.5868055555555556,0.8097278801974994,-1.0,1.0,0.4020576983417707,usable,SMAP
E-6,2880,8300,25,0.99,1.0,0.9912777777777778,0.0033384220416830287,-1.0,0.9999999999999998,0.07577326477992224,flat_train,SMAP
E-7,2769,8310,25,-1.0,-0.827,-0.9701384289848881,0.043427127757822974,-1.0,0.9999999999999998,0.10424265724957177,usable,SMAP
E-8,2880,8532,25,-1.0,0.9999999999999991,-0.26352603830220817,0.5039301106762435,-0.9999999999999998,1.0000000000000004,0.3235344636998759,usable,SMAP
E-9,2880,8302,25,-1.0,1.0000000000000018,-0.10506802119233913,0.521807869327441,-1.0,1.0,0.26220643869394067,usable,SMAP
F-1,2869,8584,25,-0.34,1.0,-0.2186997680321116,0.21939420805928317,-1.0,1.0,0.21349370631141085,usable,SMAP
F-2,2861,8626,25,-0.54,0.5000000000000001,-0.45439985402290195,0.17170582850569333,-1.0,1.0,0.12338969283670277,usable,SMAP
F-3,2880,8376,25,-1.0,1.0,-2.8289947818570404e-05,0.5775759686318187,-1.0,1.0,0.583401900328128,usable,SMAP
G-1,2820,8469,25,-1.0,1.0,0.07994722491332774,0.49811725693404574,-1.0,1.0,0.5001580286955998,usable,SMAP
G-2,2478,7361,25,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.023309453160741442,flat_train,SMAP
G-3,2624,7907,25,-0.9999999999999998,1.0,0.9878048780487805,0.15569689432687442,-1.0,1.0,0.0229352124493466,usable,SMAP
G-4,2551,7632,25,0.98,1.0,0.9946373970991769,0.008859714901990176,-1.0,1.0,0.033442829792094245,flat_train,SMAP
G-6,2881,8640,25,-1.0,1.0,0.00034265084192452435,0.5777554437197693,-0.9999999999999999,1.0000000000000002,0.7803045571496106,usable,SMAP
G-7,2446,8029,25,-0.9999999999999998,1.0,0.9841918778958845,0.17607652421015912,-1.0,1.0,0.1739505137011118,usable,SMAP
P-1,2872,8505,25,-1.0,1.0,-0.42717446702097644,0.40276585941865495,-1.0,1.0000000000000004,0.40565928538137547,usable,SMAP
P-2,2821,8209,25,-1.0,-0.8399999999999999,-0.943301772460543,0.028372272928963736,-1.0,1.0,0.3487656334727489,usable,SMAP
P-3,2855,8493,25,-1.0,1.0,-0.14002681452335086,0.29494683036497293,-1.0,1.0,0.15353261929037518,usable,SMAP
P-4,2609,7783,25,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.08771688551894423,flat_train,SMAP
P-7,2853,8071,25,-1.0,1.0,0.005532412492022857,0.24098512768283042,-1.0,1.0,0.24450551281040356,usable,SMAP
R-1,2874,7244,25,0.999,0.999,0.9990000000000001,1.1102230246251565e-16,-1.0,1.0,0.02349691233779027,flat_train,SMAP
S-1,2818,7331,25,-0.4,1.0,-0.11536472536776562,0.45075720965031135,-1.0,0.9999999999999998,0.46135822697511103,usable,SMAP
T-1,2875,8612,25,-1.0,1.0,0.5766928266336943,0.6074592239396851,-1.0,1.0,0.5725811059936172,usable,SMAP
T-2,2855,8625,25,-1.0,0.9999999999999999,0.5795300799922432,0.6083231101819357,-1.0,0.9999999999999998,0.5758895011047827,usable,SMAP
T-3,2876,8579,25,0.95,1.0,0.9768586867581994,0.01553626209343579,-1.0,1.0,0.03299747584643701,usable,SMAP
